SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Entra ID Identity Management,Verify Single SignOn service is running,,"Monitoring of the Single-Sign on services on each server to ensure that the service is in the “running” state - Can be ADFS, PingFederate, etc.",Daily,,,,,
Entra ID Identity Management,Refresh Relying party Metadata,,Monitoring of relying party trust to ensure its up to date,Weekly,,,,,https://blogs.msdn.microsoft.com/card/2010/06/24/using-federation-metadata-to-establish-a-relying-party-trust-in-ad-fs-2-0/
Entra ID Identity Management,Verify the federated domain information via Powershell,,"Monitoring of the federation of state of a domain, to ensure that it hasn’t been changed from “federated” to “managed”",Monthly,,,,,https://blogs.technet.microsoft.com/danielkenyon-smith/2011/05/11/adding-and-verifying-a-federated-domain/
Entra ID Identity Management,Verify for Single Sign On server Event Log,,"Monitoring of System and Single Sign-on Admin event logs, to determine if there are any errors or warnings associated with Single Sign on",Daily,,,,,
Entra ID Identity Management,Verify the logs of Directory Synchronization server (ILM GUI),,"Monitoring of the synchronization logs in the Synchronization server, to determine if there are any synchronization errors",Daily,,,,,
Entra ID Identity Management,Force a Directory Synchronization,,Force a directory synchronization out of its sync cycle when needed,As Required,,,,,https://blogs.technet.microsoft.com/rmilne/2014/10/01/how-to-run-manual-dirsync-azure-active-directory-sync-updates/
Entra ID Identity Management,Configure changes in the Directory Synchronization,,Install/upgrade the Dir Synchronization server version.,As Required,,,,,https://docs.microsoft.com/en-us/office365/enterprise/set-up-directory-synchronization
Entra ID Identity Management,Create & Test Single Sign-on rules to configure Client/network based access control for O365 Services.,,Create and Test Single Sign-on rules,As Required,,,,,
Entra ID Identity Management,Perform Single Sign-on Service Patching,,Install a customer-specified list of Sinlge Sign-on patches on the respective servers,Monthly,,,,,
Entra ID Identity Management,Purge Synchronization Service run history,,Remove the history of the directory sync operations,Monthly,,,,,https://social.technet.microsoft.com/wiki/contents/articles/7034.fim-reference-how-to-clear-the-run-history.aspx
Entra ID Identity Management,Perform AAD Connect Service Patching,,Install a customer-specified list of synchronization patches on the Synchronization server,Monthly,,,,,
Entra ID Identity Management,Verify Single Sign-On is working,,Login to the Microsoft Portal or Outlook using SSO to validate Single Sign-On is working,Daily,,,,,
Entra ID Identity Management,Verify the Certificate validity,,Check the SSL certificate and token signing certificate on each AD FS server for an upcoming expiration date.,Monthly,,,,,
Entra ID Identity Management,Monitor O365 Licensing scripts,,Monitor the licensing scripts used to grant user account licenses after syncronization has occurred,Daily,,,,,
Entra ID Identity Management,Create and manage O365 licensing scripts,,Create and/or manage the licensing scripts used to grant user account licenses within O365,As Required,,,,,
Entra ID Identity Management,Manage end user accounts,,Managed end user accounts via appropriate Active Directory solution,As Required,,,,,
Entra ID Identity Management,Plan for Azure AD roadmap changes for features and functionality updates,,Review the current features and functionality roadmap to determine how they might apply and actions that require attention,Monthly,,,,,https://docs.microsoft.com/en-us/azure/active-directory/active-directory-enterprise-apps-whats-new-azure-portal
Azure AD MFA,Run a registration campaign,Security Tasks,"Users can be prompted to set up Microsoft Authenticator during sign-in.
A registration campaign will only be used if requesting users to move from phone to app",Ad hoc,Support,,,,Nudge users to set up Microsoft Authenticator app - Entra ID | Microsoft Docs
Azure AD MFA,Configure temporary access pass,Security Tasks,"There may be situations where users need a temporary access code. This could be a result of a user being outside of the country or a device has been left at home for the day, run out of battery or similar scenarios. In these cases, it is critical to ensure the user can be validated. Initial validation will be managed through line manager approval of a temporary access code access request.",Ad hoc,Support,,,,Configure a Temporary Access Pass in Azure AD to register Passwordless authentication methods | Microsoft Docs
Azure AD MFA,Authentication methods activity,Reporting,The new authentication methods activity dashboard enables admins to monitor authentication method registration and usage across the organisation.,Ad hoc,Monitoring,,,,Authentication Methods Activity - Entra ID | Microsoft Docs
Azure AD MFA,SSPR reports,Reporting,This report provides information about how or if self-service password reset (SSPR) is being used.,Ad hoc,Support,,,,Self-service password reset reports - Entra ID | Microsoft Docs
Azure AD MFA,MFA reports,Reporting,"The Entra ID (Azure AD) sign-ins report lets you review and understand Azure AD Multi-Factor Authentication events. This report shows authentication details for events when a user is prompted for multi-factor authentication, and if any Conditional Access policies were in use.",Ad hoc,Monitoring,,,,Sign-in event details for Azure AD Multi-Factor Authentication - Entra ID | Microsoft Docs
Azure AD MFA,Troubleshoot SSPR,Troubleshooting,Troubleshoot and resolve common errors with SSPR.,Ad hoc,Troubleshooting,,,,Troubleshoot self-service password reset - Entra ID | Microsoft Docs
Azure AD MFA,SSPR writeback,Troubleshooting,Troubleshoot and resolve common errors with SSPR writeback.,Ad hoc,Troubleshooting,,,,Troubleshoot self-service password reset writeback- Entra ID | Microsoft Docs
Azure Compute,Deploy Linux VM,Azure Services: Linux VM,"Create a new Linux virtual machine either by Azure portal, image, or PowerShell",As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/quick-create-portal
Azure Compute,Configure Linux VM,Azure Services: Linux VM,"Configure the VM with any custom related policies, scripts, management agents, etc. ",As Required,,,,,
Azure Compute,Configure Linux VM disks,Azure Services: Linux VM,How to Manage Azure disks with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-manage-disks
Azure Compute,Create custom Linux VM images,Azure Services: Linux VM,How to create a custom image of an Azure VM with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-custom-images
Azure Compute,Manage Custom Linux VM Images,Azure Services: Linux VM,How to manage custom image,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-custom-images#image-management
Azure Compute,Create Linux VM Availability Sets,Azure Services: Linux VM,How to create availability set,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-availability-sets#create-an-availability-set
Azure Compute,Configure Linux VM Availability Sets,Azure Services: Linux VM,How to configure availability set VMs,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-availability-sets#create-vms-inside-an-availability-set
Azure Compute,Remove Linux VM Availability Sets,Azure Services: Linux VM,How to remove availability set VM,As Required,,,,,
Azure Compute,Configure Linux VM Backup,Azure Services: Linux VM,How to backup and restore files in Linux VM,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-backup-vms
Azure Compute,Monitor Linux VM,Azure Services: Linux VM,How to monitor a Linux virtual machine in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-monitoring
Azure Compute,Secure Linux VM,Azure Services: Linux VM,How to use Azure Security Centre to monitor Linux virtual machines,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/tutorial-azure-security
Azure Compute,Patch Linux VM,Azure Services: Linux VM,Maintenance for virtual machines in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/maintenance-and-updates
Azure Compute,Decommission Linux VM,Azure Services: Linux VM,Maintenance for virtual machines in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/maintenance-and-updates
Azure Compute,Modify Linux VM Type,Azure Services: Linux VM,How to resize a Linux virtual machine using Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/linux/change-vm-size
Azure Compute,Deploy Windows VM,Azure Services: Windows VM,Create a Windows virtual machine in the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/quick-create-portal
Azure Compute,Configure Windows VM,Azure Services: Windows VM,,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-manage-vm
Azure Compute,Configure Windows VM disks,Azure Services: Windows VM,Manage Azure disks with Azure PowerShell,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-manage-data-disk
Azure Compute,Create custom Windows VM images,Azure Services: Windows VM,Create a custom image of an Azure VM with Azure PowerShell,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-custom-images
Azure Compute,Manage Custom Windows VM Images,Azure Services: Windows VM,How to manage custom windows VM images,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-custom-images#image-management
Azure Compute,Create Windows VM Availability Sets,Azure Services: Windows VM,How to create Windows VM availability set,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-availability-sets#create-an-availability-set
Azure Compute,Configure Windows VM Availability Sets,Azure Services: Windows VM,How to configure availability set VMs,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-availability-sets#create-vms-inside-an-availability-set
